category,cardName,hue,rgb,lightness,hue2
Daughter,damn-near-perfect-birthday-card-for-daughter-root-369zzb8182,1.8295221153172843,"[232.72229869236062, 218.72780454232623, 206.01514108740537]",86.02694897642469,28.560126786151518
Girl,so-proud-of-you-bat-mitzvah-card-root-359jwr1137,1.8494854229131703,"[249.11279029058232, 246.9040728206325, 236.01674641148324]",95.12343856903247,49.88068080556047
Any+Woman,another-year-older-another-year-loved-birthday-card-root-599hbd4280,1.8633861719095817,"[248.41042084168336, 239.40120240480962, 239.1370741482966]",95.59754803725096,1.7089510308163356
Husband,youre-a-blessing-me-easter-card-husband,1.9163730762099047,"[43.934582566504936, 26.829680441693156, 26.309352517985612]",13.77332060480207,1.771305982192005
Sister,pink-and-gold-an-amazing-woman-birthday-card-for-sister-root-599fbd8125,1.9977279947628208,"[247.85026737967914, 203.46011586452764, 201.87076648841355]",88.18059487609659,2.073988640989372
Mother,floral-pattern-religious-mothers-day-card,2.0239472285616547,"[230.35297969875572, 211.20104780615586, 207.60598122680636]",85.8743060638357,9.4827453840544
Husband,love-the-man-you-are-christmas-card-for-husband-root-499xxo5542,2.112207367622168,"[47.19705807760588, 29.360892721278216, 27.145574435708852]",14.576986767316615,6.628890884484527
Mother,your-loving-affection-spanishlanguage-mothers-day-card-root-699msi8245,2.196931132281178,"[236.86590470057953, 234.71587250482935, 234.62652929813265]",92.44949686249258,2.393789087771645
Daughter,lovely-daughter-spanishlanguage-valentines-day-card-root-299vas2132,2.21576769724658,"[251.64642911760208, 95.16179844012846, 94.79675791405414]",67.93003667287377,0.13963963963964235
Mother,purple-flower-thanks-for-being-you-mothers-day-card-root-679moa2906,2.2230180919151707,"[223.66070489216202, 202.91346659652814, 200.60625986322987]",83.18960093242976,6.004586266300079
Wife,holly-wreath-and-doves-christmas-card-for-wife-root-629xxo1373,2.3042495184747507,"[172.1780693533271, 110.27272727272727, 79.05998125585755]",49.262362864546006,20.111718348983963
Wife,i-believe-in-love-valentines-day-card-root-799vee4305,2.337062983498773,"[253.4724596391263, 148.2715257993036, 145.89023425134536]",78.30641056675915,1.3280771276341548
Daughter,always-be-my-little-angel-root-599xxo4579,2.3834684824803207,"[248.7850490972442, 232.32949002217296, 207.4214760848907]",89.45225983963431,36.130361267161284
Father,floral-red-egg-and-chick-new-baby-card,2.4082038772628005,"[227.9689978370584, 77.01874549387166, 70.6966474405191]",58.561891230897544,2.411904459014815
Sister,proud-of-you-now-funny-birthday-card-for-sister-root-349zzb8188,2.5250319957840834,"[2.884519609877568, 1.5643286989001868, 1.5063291139240507]",0.8609507301571802,2.5250319957840834
Mother,mom-means-love-pop-spanish-birthday-card,2.5369688252648888,"[245.81119979065812, 182.98416852021458, 180.0519429543373]",83.50257700882264,2.6754185253423106
Girl,for-an-amazing-girl-valentines-day-card,2.555695996401941,"[160.3892310749056, 48.79574806278561, 75.43989668189947]",41.01666257601789,345.67435235466934
Grandson,to-a-perfect-pair-valentines-day-card,2.56537188650546,"[236.2227924528302, 43.58233962264151, 31.720150943396227]",52.53783203847576,3.480303801953013
Son,wishing-happiness-birthday-card-for-son,2.5831869995058967,"[160.77731548480463, 39.056078147612155, 33.35148335745296]",38.06447036122698,2.6860777104243265
Son,bricks-ivy-college-graduation-card-son,2.587601670965446,"[125.37647243599811, 34.98256635778232, 31.121721375844196]",30.6859203552632,2.4577084583083413
Daughter,disney-minnie-mouse-mothers-day-card-for-daughter,2.588495575243153,"[243.50208209399167, 189.23497917906008, 188.4009518143962]",84.68686939380154,0.9081781376517938
Mother,floral-and-marbled-mothers-day-card-root-629moa5773,2.645839601066009,"[247.10403369925965, 213.18547357671687, 211.03791166709217]",89.83175399340232,3.5727077744193227
Daughter,loved-so-much-easter-card-from-parents-root-399e2101,2.682677065370119,"[246.14126634727438, 119.7104752039363, 110.39220510164444]",69.90852381351348,4.118600902335967
Mother,your-love-makes-all-things-possible-mothers-day-card,2.7189852572145408,"[241.46770601336303, 194.4988864142539, 192.36430162265353]",85.06509953647385,2.6082730736334594
Wife,amazing-life-mothers-day-card-husband,2.751715483405877,"[236.37274774774775, 195.92642642642642, 193.96546546546546]",84.38004180651241,2.7744682357731545
Mother,one-amazing-chick-musical-mothers-day-card-root-559mej1003,2.7575227882765025,"[247.6169969823016, 130.32672702063454, 128.79569366283337]",73.80640993041862,0.7731105357520394
Sister,our-family-is-lucky-christmas-card-for-sister-root-629xxo1903,2.7741000883030225,"[220.4186127570582, 46.43673753921227, 37.932380620425235]",50.65705752499676,2.7961639031769443
Husband,lucky-and-thankful-birthday-card-husband,2.8363872926379625,"[96.0262023989752, 44.26260626528473, 41.72353557703505]",27.00975254431573,2.8054651863511864
Son,valentines-day-card-for-son-with-a-wearable-mustache,2.884963321161897,"[57.00889164598842, 41.548800661703886, 41.09615384615385]",19.23628342983182,1.7067338929750062
Daughter,i-will-be-there-for-you-birthday-card-for-daughter-root-899fbd5206,2.9183047419924355,"[252.53232368896926, 159.8641500904159, 155.0736889692586]",79.92274758004467,2.9492273116289383
Mother,mam-love-spanish-valentines-day-card-root-499vas2462,2.951271705224157,"[150.41487158243578, 39.81172328086164, 34.037696768848384]",36.16717026495768,2.9768860713084386
Wife,love-of-my-life-birthday-card-root-659fbd2129,2.989479490917733,"[253.34579742077636, 234.30522973235693, 237.86708573650444]",95.6178484613987,348.775998502459
Son,hope-your-day-amazing-birthday-card-son,3.029203700344706,"[28.781573498964804, 25.966097308488614, 25.342391304347824]",10.612542118296592,10.881179923244863
Mother,gilded-butterfly-and-flowers-easter-card-for-mom,3.0301773307065,"[247.25746009715476, 244.71866759195004, 244.59347675225538]",96.441360166551,2.819631134729548
Grandmother,special-names-for-grandma-birthday-card-with-personalization-stickers-root-399fbd5142,3.050472826706161,"[253.36730464464222, 216.6164817749604, 226.28111666463488]",92.1536836116868,344.2213575615242
Aunt,love-and-thanks-birthday-card-for-aunt-root-599fbd2307,3.095416012135716,"[243.8528973034997, 229.70774526678142, 214.71038439472176]",89.91436896043558,30.877284163526674
Wife,amazing-spanish-wife-birthday-card,3.1051102375659365,"[235.67365500231233, 231.48866964698627, 231.2249113611839]",91.54873850264632,3.5572958175957723
Wife,vase-of-flowers-anniversary-card--wife,3.1240173864792173,"[239.0934794133239, 217.14278141014313, 216.16257289273724]",89.2658926090316,2.564770432933087
Wife,for-all-the-times-mothers-day-card-for-wife-root-659moa2533,3.2836616510382464,"[239.8223926380368, 204.75521472392637, 202.6941717791411]",86.76795380728979,3.330689535517755
Aunt,church-on-a-hill-religious-easter-card-for-aunt-root-200deh2185,3.3083286387761217,"[235.9291209484172, 222.88006053726826, 222.88182620759238]",89.96258460503637,359.9918813909884
Mother,pretty-seashells-with-glitter-mothers-day-card,3.375680580748244,"[230.81312041432886, 201.32153646957272, 199.89771255934397]",84.45310450464173,2.763328726389401
Any+Woman,celebrate-where-you-are-on-your-journey-birthday-card-root-699hbd4997,3.5663781722164747,"[239.6640771497455, 214.87409590141976, 210.32011786766677]",88.2321951014534,9.311581964743803
